,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
2218,PAST SALE,August-28-2017,Single Family Residential,265 Route 87,Columbia,CT,6237,295000.0,4.0,2.5,Columbia,2498.0,269200.0,1922.0,1512.0,118.0,,Sold,,,http://www.redfin.com/CT/Columbia/265-CT-87-06237/home/53774856,Smart MLS,G10229003,N,Y,41.709427,-72.309084
2219,PAST SALE,July-10-2017,Single Family Residential,267 Skinner Ln,Hebron,CT,6248,246000.0,3.0,2.0,Hebron,1620.0,43560.0,1987.0,1561.0,152.0,,Sold,,,http://www.redfin.com/CT/Hebron/267-Skinner-Ln-06248/home/54030020,Smart MLS,G10223591,N,Y,41.6862256,-72.3667456
2220,PAST SALE,June-29-2017,Single Family Residential,50 Brennan Rd,Hebron,CT,6231,260000.0,4.0,2.5,Amston,2358.0,44866.0,1969.0,1572.0,110.0,,Sold,,,http://www.redfin.com/CT/Amston/50-Brennan-Rd-06231/home/54030078,Smart MLS,G10199563,N,Y,41.6424534,-72.3612888
2221,PAST SALE,,Single Family Residential,28 Heron Hill Rd,Amston,CT,6231,321480.0,3.0,2.5,,1976.0,51401.0,1996.0,,163.0,,,,,http://www.redfin.com/CT/Amston/28-Heron-Hill-Rd-06231/home/54030188,,,N,Y,41.6198555,-72.3565257
2222,PAST SALE,September-26-2017,Single Family Residential,15 Judd Brook Ln,Hebron,CT,6231,312000.0,3.0,2.5,Hebron,,70131.0,1992.0,1483.0,,,Sold,,,http://www.redfin.com/CT/Amston/15-Judd-Brook-Ln-06231/home/54032058,Smart MLS,G10219014,N,Y,41.6155591,-72.3527798
2223,PAST SALE,July-25-2017,Single Family Residential,16 Settlement Rd,Hebron,CT,6231,260000.0,3.0,1.5,Amston,,76665.0,1981.0,1546.0,,,Sold,,,http://www.redfin.com/CT/Amston/16-Settlement-Rd-06231/home/54032148,Smart MLS,G10222075,N,Y,41.6368772,-72.358283
2224,PAST SALE,July-7-2017,Single Family Residential,210 Crouch Rd,Hebron,CT,6231,115000.0,3.0,2.5,Amston,1746.0,87120.0,1988.0,1564.0,66.0,,Sold,,,http://www.redfin.com/CT/Amston/210-Crouch-Rd-06231/home/54032180,Smart MLS,G10100779,N,Y,41.6116267,-72.3263494
2225,PAST SALE,January-26-2018,Single Family Residential,10 School Rd,Bolton,CT,6043,244900.0,2.0,2.0,Bolton,1908.0,47916.0,1975.0,1361.0,128.0,,Sold,,,http://www.redfin.com/CT/Bolton/10-School-Rd-06043/home/53985209,Smart MLS,170037055,N,Y,41.7468178,-72.4355926
2226,PAST SALE,,Single Family Residential,721 Middle Tpke,Mansfield,CT,6268,,3.0,2.0,,2496.0,58806.0,1831.0,,,,Sold,,,http://www.redfin.com/CT/Storrs/721-Middle-Tpke-06268/home/53786210,Smart MLS,,N,Y,41.8299196,-72.2589285
2227,PAST SALE,August-28-2017,Single Family Residential,136 Hebron Rd,Bolton,CT,6043,305000.0,4.0,2.0,Bolton,,283140.0,1724.0,1512.0,,,Sold,,,http://www.redfin.com/CT/Bolton/136-Hebron-Rd-06043/home/53985550,Smart MLS,P10201072,N,Y,41.750092,-72.425963
